code,2013
1001,55246
1003,195540
1005,27076
1007,22512
1009,57872
1011,10639
1013,20265
1015,116736
1017,34162
1019,26203
1021,43951
1023,13426
1025,25207
1027,13486
1029,14994
1031,50938
1033,54520
1035,12887
1037,10898
1039,37886
1041,13986
1043,80811
1045,49884
1047,41996
1049,71013
1051,80902
1053,37983
1055,103931
1057,16909
1059,31532
1061,26727
1063,8744
1065,15406
1067,17296
1069,103668
1071,52951
1073,659479
1075,14236
1077,92797
1079,33587
1081,150933
1083,88845
1085,10703
1087,19688
1089,346892
1091,20155
1093,30334
1095,94760
1097,414079
1099,22236
1101,226659
1103,119787
1105,10020
1107,19401
1109,33339
1111,22727
1113,59585
1115,86308
1117,204180
1119,13361
1121,81096
1123,41203
1125,200821
1127,65998
1129,16877
1131,11307
1133,24146
2013,3092
2016,5511
2020,300950
2050,17758
2060,960
2068,1867
2070,5010
2090,100436
2100,2592
2105,2145
2110,32660
2122,57147
2130,13729
2150,14135
2164,1648
2170,95192
2180,9892
2185,9686
2188,7685
2195,3774
2198,5786
2220,9020
2230,995
2240,6985
2261,9763
2270,7977
2275,2400
2282,642
2290,5695
4001,71934
4003,129473
4005,136539
4007,53053
4009,37482
4011,9049
4012,20324
4013,4009412
4015,203030
4017,107322
4019,996554
4021,389350
4023,46768
4025,215133
4027,201201
5001,18777
5003,21283
5005,40957
5007,237297
5009,37396
5011,11249
5013,5241
5015,27808
5017,11335
5019,22743
5021,15402
5023,25686
5025,8593
5027,24164
5029,21245
5031,101488
5033,61640
5035,49746
5037,17548
5039,7933
5041,12505
5043,18785
5045,119580
5047,18034
5049,12304
5051,97173
5053,18019
5055,43097
5057,22474
5059,33500
5061,13581
5063,36997
5065,13368
5067,17615
5069,73191
5071,25846
5073,7252
5075,17011
5077,10015
5079,14031
5081,12730
5083,22082
5085,70753
5087,15701
5089,16430
5091,43402
5093,44765
5095,7682
5097,9226
5099,8799
5101,8064
5103,25002
5105,10345
5107,20399
5109,11177
5111,24145
5113,20406
5115,62547
5117,8374
5119,391284
5121,17692
5123,27260
5125,114404
5127,10950
5129,8023
5131,127342
5133,17366
5135,17049
5137,12581
5139,40694
5141,16932
5143,216410
5145,78483
5147,7072
5149,21893
6001,1578891
6003,1159
6005,36519
6007,222090
6009,44515
6011,21358
6013,1094205
6015,27873
6017,181737
6019,955272
6021,27940
6023,134493
6025,176584
6027,18467
6029,864124
6031,150960
6033,63860
6035,32163
6037,10017068
6039,152389
6041,258365
6043,17755
6045,87192
6047,263228
6049,9147
6051,14074
6053,428826
6055,140326
6057,98200
6059,3114363
6061,367309
6063,18859
6065,2292507
6067,1462131
6069,57600
6071,2088371
6073,3211252
6075,837442
6077,704379
6079,276443
6081,747373
6083,435697
6085,1862041
6087,269419
6089,178980
6091,3047
6093,43799
6095,424788
6097,495025
6099,525491
6101,95350
6103,63057
6105,13448
6107,454143
6109,53874
6111,839620
6113,204593
6115,73340
8001,469193
8003,16253
8005,607070
8007,12194
8009,3682
8011,5688
8013,310048
8014,59471
8015,18510
8017,1890
8019,9031
8021,8277
8023,3518
8025,5322
8027,4285
8029,30483
8031,649495
8033,2029
8035,305963
8037,52460
8039,23733
